Date,Close/Last,Volume,Open,High,Low
3/31/2025,98.09,11302850,96.62,98.82,94.58
3/28/2025,97.73,8066627,98.00,98.49,97.06
3/27/2025,98.85,9140963,97.90,99.92,97.54
3/26/2025,97.97,9567221,96.00,98.39,96.00
3/25/2025,95.88,6984820,96.19,96.97,94.77
3/24/2025,95.72,8264970,98.03,98.20,95.63
3/21/2025,97.07,11366030,97.94,98.01,96.29
3/20/2025,99.28,5952759,98.85,99.69,98.67
3/19/2025,99.19,4982672,98.27,99.53,97.95
3/18/2025,98.28,7423375,99.23,99.37,97.68
3/17/2025,99.08,10132110,97.71,99.45,97.00
3/14/2025,98.11,8240921,96.52,98.25,96.16
3/13/2025,96.04,9274347,98.71,98.87,95.93
3/12/2025,98.69,9461159,100.30,100.30,96.97
3/11/2025,99.58,10663530,101.89,103.00,99.00
3/10/2025,101.13,15823320,105.73,106.00,99.80
3/7/2025,106.48,11637380,104.73,106.86,103.44
3/6/2025,105.47,16321750,110.01,110.43,104.91
3/5/2025,111.69,11926820,111.57,112.52,110.21
3/4/2025,112.06,12482360,114.99,115.27,112.00
3/3/2025,115.41,9225548,116.04,117.46,114.10
2/28/2025,115.81,11466020,115.06,116.09,114.27
2/27/2025,114.49,9013720,113.00,115.70,112.80
2/26/2025,113.00,7466760,114.61,114.79,112.26
2/25/2025,114.59,11001780,113.08,115.24,112.67
2/24/2025,113.19,13120480,112.34,113.91,111.89
2/21/2025,111.75,9664734,113.33,114.68,111.63
2/20/2025,113.34,6343805,112.17,113.50,111.96
2/19/2025,112.49,8268899,112.44,113.34,112.34
2/18/2025,113.03,7574072,111.80,113.36,111.62
2/14/2025,112.55,9115007,112.82,113.47,112.03
2/13/2025,113.00,10046270,113.12,113.40,111.53
2/12/2025,113.04,7269396,110.56,113.19,110.40
2/11/2025,111.03,4683518,110.88,112.08,110.61
2/10/2025,111.45,8348363,112.58,112.58,111.00
2/7/2025,112.20,11502400,111.43,112.62,110.06
2/6/2025,111.70,11967310,112.05,112.31,111.05
2/5/2025,112.25,12830990,110.18,112.42,109.86
2/4/2025,110.60,11123740,108.67,111.07,108.13
2/3/2025,108.16,8894092,105.72,108.44,105.52
1/31/2025,107.68,19142470,109.00,109.36,107.50
1/30/2025,109.00,15023030,109.00,110.34,108.03
1/29/2025,108.58,40769320,102.70,110.08,102.68
1/28/2025,100.41,14736490,98.94,100.68,98.59
1/27/2025,100.02,9654891,98.52,100.33,98.10
1/24/2025,98.81,6957146,97.79,99.01,97.62
1/23/2025,97.99,7901763,98.00,98.03,97.02
1/22/2025,97.73,7678895,97.98,98.54,97.46
1/21/2025,97.98,8803122,95.41,98.58,95.41
1/17/2025,95.13,8362145,95.58,95.86,95.10
1/16/2025,94.43,6548184,92.87,94.77,92.87
1/15/2025,93.08,4554743,94.10,94.47,92.95
1/14/2025,93.07,6406229,94.01,94.89,92.52
1/13/2025,93.51,6912144,92.27,93.59,91.38
1/10/2025,92.25,6550328,92.19,92.79,91.93
1/8/2025,92.60,6243744,92.97,93.01,92.01
1/7/2025,92.84,6638267,92.78,93.65,91.86
1/6/2025,93.13,8768050,92.04,94.50,91.94
1/3/2025,92.58,4966947,92.40,93.12,91.80
1/2/2025,92.17,8642734,91.55,92.66,91.41
